workua_title_uk,workua_slug,workua_url,page,discovered_at
Маркетинговий стратег,marketing-strategist,https://www.work.ua/career-guide/marketing-strategist/,8,2026-08-31
Маляр,painter,https://www.work.ua/career-guide/painter/,8,2026-08-31
Матрос,sailor,https://www.work.ua/career-guide/sailor/,8,2026-08-31
Машиніст крана,crane-operator,https://www.work.ua/career-guide/crane-operator/,9,2026-08-31
Менеджер з персоналу,hr-manager,https://www.work.ua/career-guide/hr-manager/,9,2026-08-31
Медіабаєр,mediabuyer,https://www.work.ua/career-guide/mediabuyer/,9,2026-08-31
Мерчендайзер,merchandiser,https://www.work.ua/career-guide/merchandiser/,9,2026-08-31
Модель,model,https://www.work.ua/career-guide/model/,9,2026-08-31
Монтажник,mounter,https://www.work.ua/career-guide/mounter/,9,2026-08-31
Медсестра,nurse,https://www.work.ua/career-guide/nurse/,9,2026-08-31
Менеджер з продажу,sales-manager,https://www.work.ua/career-guide/sales-manager/,9,2026-08-31
Машиніст метро,subway-driver,https://www.work.ua/career-guide/subway-driver/,9,2026-08-31
Менеджер з туризму,tourism-manager,https://www.work.ua/career-guide/tourism-manager/,9,2026-08-31
Оператор call-центру,call-center-operator,https://www.work.ua/career-guide/call-center-operator/,10,2026-08-31
Няня,childminder,https://www.work.ua/career-guide/childminder/,10,2026-08-31
Оператор АЗК,gas-station-operator,https://www.work.ua/career-guide/gas-station-operator/,10,2026-08-31
Оператор машинного доїння,milking-machine-operator,https://www.work.ua/career-guide/milking-machine-operator/,10,2026-08-31
Нотаріус,notary,https://www.work.ua/career-guide/notary/,10,2026-08-31
Офтальмолог,oculist,https://www.work.ua/career-guide/oculist/,10,2026-08-31
Офіс-менеджер,office-manager,https://www.work.ua/career-guide/office-manager/,10,2026-08-31
Пакувальник,packer,https://www.work.ua/career-guide/packer/,10,2026-08-31
Охоронець,security-guard,https://www.work.ua/career-guide/security-guard/,10,2026-08-31
Офіціант,waiter,https://www.work.ua/career-guide/waiter/,10,2026-08-31
Патологоанатом,anatomical-pathologist,https://www.work.ua/career-guide/anatomical-pathologist/,11,2026-08-31
Помічник керівника,assistant-manager,https://www.work.ua/career-guide/assistant-manager/,11,2026-08-31
Пекар,baker,https://www.work.ua/career-guide/baker/,11,2026-08-31
Перукар,hairdresser,https://www.work.ua/career-guide/hairdresser/,11,2026-08-31
Програміст Java,java-programmer,https://www.work.ua/career-guide/java-programmer/,11,2026-08-31
Поліцейський,policeman,https://www.work.ua/career-guide/policeman/,11,2026-08-31
Приватний детектив,private-detective,https://www.work.ua/career-guide/private-detective/,11,2026-08-31
Програміст PHP,programmer-php,https://www.work.ua/career-guide/programmer-php/,11,2026-08-31
Провізор,provizor,https://www.work.ua/career-guide/provizor/,11,2026-08-31
Провідник,train-conductor,https://www.work.ua/career-guide/train-conductor/,11,2026-08-31
Редактор,editor,https://www.work.ua/career-guide/editor/,12,2026-08-31
Режисер монтажу,film-editor,https://www.work.ua/career-guide/film-editor/,12,2026-08-31
Ревізор,inspector,https://www.work.ua/career-guide/inspector/,12,2026-08-31
Продакт-менеджер,product-manager,https://www.work.ua/career-guide/product-manager/,12,2026-08-31
Психолог,psychologist,https://www.work.ua/career-guide/psychologist/,12,2026-08-31
Рятувальник ДСНС,rescuer,https://www.work.ua/career-guide/rescuer/,12,2026-08-31
Рієлтор,rieltor,https://www.work.ua/career-guide/rieltor/,12,2026-08-31
Ризик-менеджер,risk-manager,https://www.work.ua/career-guide/risk-manager/,12,2026-08-31
Продавець-консультант,shop-assistant,https://www.work.ua/career-guide/shop-assistant/,12,2026-08-31
Режисер,stage-director,https://www.work.ua/career-guide/stage-director/,12,2026-08-31
Столяр,carpenter,https://www.work.ua/career-guide/carpenter/,13,2026-08-31
Стоматолог,dentist,https://www.work.ua/career-guide/dentist/,13,2026-08-31
Садівник,gardener,https://www.work.ua/career-guide/gardener/,13,2026-08-31
Страховий агент,insurance-agent,https://www.work.ua/career-guide/insurance-agent/,13,2026-08-31
Слюсар,locksmith,https://www.work.ua/career-guide/locksmith/,13,2026-08-31
Сантехнік,plumber,https://www.work.ua/career-guide/plumber/,13,2026-08-31
Стропальник,slinger,https://www.work.ua/career-guide/slinger/,13,2026-08-31
Сомельє,sommelier,https://www.work.ua/career-guide/sommelier/,13,2026-08-31
Стиліст,stylist,https://www.work.ua/career-guide/stylist/,13,2026-08-31
Системний адміністратор,system-administrator,https://www.work.ua/career-guide/system-administrator/,13,2026-08-31
Товарознавець,merchant,https://www.work.ua/career-guide/merchant/,14,2026-08-31
Фармацевт,pharmacist,https://www.work.ua/career-guide/pharmacist/,14,2026-08-31
Торговельний представник,sales-representative,https://www.work.ua/career-guide/sales-representative/,14,2026-08-31
Сценарист,screenwriter,https://www.work.ua/career-guide/screenwriter/,14,2026-08-31
Супервайзер,supervisor,https://www.work.ua/career-guide/supervisor/,14,2026-08-31
Таргетолог,targetologist,https://www.work.ua/career-guide/targetologist/,14,2026-08-31
Технолог-розробник,technologist-developer,https://www.work.ua/career-guide/technologist-developer/,14,2026-08-31
Тестувальник,tester,https://www.work.ua/career-guide/tester/,14,2026-08-31
Тракторист-машиніст,tractor-driver,https://www.work.ua/career-guide/tractor-driver/,14,2026-08-31
Токар,turner,https://www.work.ua/career-guide/turner/,14,2026-08-31
Хімік,chemist,https://www.work.ua/career-guide/chemist/,15,2026-08-31
Хореограф,choreographer,https://www.work.ua/career-guide/choreographer/,15,2026-08-31
Фінансовий аналітик,financial-analyst,https://www.work.ua/career-guide/financial-analyst/,15,2026-08-31
Флорист,florist,https://www.work.ua/career-guide/florist/,15,2026-08-31
Хостес,hostess,https://www.work.ua/career-guide/hostess/,15,2026-08-31
Юрист,lawyer,https://www.work.ua/career-guide/lawyer/,15,2026-08-31
Фотограф,photographer,https://www.work.ua/career-guide/photographer/,15,2026-08-31
Швачка,seamstress,https://www.work.ua/career-guide/seamstress/,15,2026-08-31
Хірург,surgeon,https://www.work.ua/career-guide/surgeon/,15,2026-08-31
